first_ledger_index,                last_ledger_index,                first_closing_time,                last_closing_time,                num_ledgers,                num_transactions,               Payment tx,               OfferCreate tx,               OfferCancel tx,               TrustSet tx,               AccountSet tx,               accounts_created
433183, 437980, 2013-03-31 00:00:00 +00:00, 2013-03-31 23:59:50 +00:00, 4798, 1093, 547, 271, 221, 54, 0, 15
437980, 442796, 2013-03-31 23:59:50 +00:00, 2013-04-01 23:59:50 +00:00, 4817, 1737, 534, 599, 514, 90, 0, 65
442796, 447633, 2013-04-01 23:59:50 +00:00, 2013-04-02 23:59:50 +00:00, 4838, 1501, 248, 652, 558, 43, 0, 49
447633, 452487, 2013-04-02 23:59:50 +00:00, 2013-04-04 00:00:00 +00:00, 4855, 1642, 260, 718, 554, 110, 0, 22
452487, 457443, 2013-04-04 00:00:00 +00:00, 2013-04-05 00:00:00 +00:00, 4957, 2237, 148, 1063, 955, 69, 2, 23
457443, 461445, 2013-04-05 00:00:00 +00:00, 2013-04-06 00:00:00 +00:00, 4003, 764, 187, 292, 196, 89, 0, 77
461445, 466029, 2013-04-06 00:00:00 +00:00, 2013-04-06 23:59:50 +00:00, 4585, 672, 204, 239, 169, 60, 0, 15
466029, 470785, 2013-04-06 23:59:50 +00:00, 2013-04-08 00:00:00 +00:00, 4757, 1133, 281, 477, 287, 88, 0, 18
470785, 475719, 2013-04-08 00:00:00 +00:00, 2013-04-08 23:59:50 +00:00, 4935, 2149, 357, 936, 710, 145, 1, 59
475719, 480548, 2013-04-08 23:59:50 +00:00, 2013-04-10 00:00:00 +00:00, 4830, 1623, 253, 715, 563, 92, 0, 53
480548, 485383, 2013-04-10 00:00:00 +00:00, 2013-04-10 23:59:50 +00:00, 4836, 1421, 268, 587, 515, 51, 0, 38
485383, 490352, 2013-04-10 23:59:50 +00:00, 2013-04-12 00:00:00 +00:00, 4970, 1739, 361, 836, 443, 99, 0, 42
490352, 495380, 2013-04-12 00:00:00 +00:00, 2013-04-12 23:59:50 +00:00, 5029, 1687, 570, 570, 421, 126, 0, 203
495380, 500275, 2013-04-12 23:59:50 +00:00, 2013-04-14 00:00:00 +00:00, 4896, 1318, 502, 445, 186, 185, 0, 101
500275, 506083, 2013-04-14 00:00:00 +00:00, 2013-04-15 00:00:00 +00:00, 5809, 3055, 1171, 1036, 622, 226, 0, 68
506083, 511649, 2013-04-15 00:00:00 +00:00, 2013-04-16 00:00:00 +00:00, 5567, 3599, 778, 1486, 1112, 223, 0, 165
511649, 517003, 2013-04-16 00:00:00 +00:00, 2013-04-16 23:59:50 +00:00, 5355, 2202, 850, 734, 411, 207, 0, 188
517003, 522529, 2013-04-16 23:59:50 +00:00, 2013-04-18 00:00:00 +00:00, 5527, 2950, 719, 1165, 805, 261, 0, 112
522529, 528420, 2013-04-18 00:00:00 +00:00, 2013-04-19 00:00:00 +00:00, 5892, 3216, 960, 1145, 757, 354, 0, 167
528420, 534261, 2013-04-19 00:00:00 +00:00, 2013-04-20 00:00:00 +00:00, 5842, 3096, 765, 1342, 752, 237, 0, 137
534261, 540012, 2013-04-20 00:00:00 +00:00, 2013-04-20 23:59:50 +00:00, 5752, 2844, 770, 1172, 629, 273, 0, 45
540012, 546150, 2013-04-20 23:59:50 +00:00, 2013-04-22 00:00:00 +00:00, 6139, 3421, 1045, 1328, 706, 342, 0, 56
546150, 551720, 2013-04-22 00:00:00 +00:00, 2013-04-23 00:00:00 +00:00, 5571, 2643, 763, 1008, 538, 334, 0, 164
551720, 557668, 2013-04-23 00:00:00 +00:00, 2013-04-24 00:00:00 +00:00, 5949, 3280, 845, 1390, 782, 263, 0, 174
557668, 563824, 2013-04-24 00:00:00 +00:00, 2013-04-25 00:00:00 +00:00, 6157, 3491, 1302, 1147, 729, 311, 1, 128
563824, 569490, 2013-04-25 00:00:00 +00:00, 2013-04-26 00:00:00 +00:00, 5667, 2721, 894, 933, 573, 320, 1, 148
569490, 575333, 2013-04-26 00:00:00 +00:00, 2013-04-27 00:00:00 +00:00, 5844, 2955, 1242, 796, 643, 274, 0, 155
575333, 581343, 2013-04-27 00:00:00 +00:00, 2013-04-27 23:59:50 +00:00, 6011, 3168, 1564, 819, 532, 247, 6, 122
